WIDTH : 50 HEIGHT : 50
X: 20 Y: 5 side : 0
X: 18 Y: 48 side : 1
X: 5 Y: 49 side : 0
X: 0 Y: 21 side : 0
X: 14 Y: 42 side : 1
X: 31 Y: 22 side : 0
X: 26 Y: 0 side : 0
X: 49 Y: 48 side : 1
X: 5 Y: 36 side : 0
X: 19 Y: 15 side : 1
X: 38 Y: 37 side : 1
X: 35 Y: 5 side : 1
X: 4 Y: 11 side : 0
X: 22 Y: 13 side : 1
X: 24 Y: 29 side : 0
X: 45 Y: 10 side : 0
X: 22 Y: 38 side : 1
X: 38 Y: 39 side : 1
X: 35 Y: 47 side : 1
X: 17 Y: 16 side : 0
X: 21 Y: 7 side : 1
X: 30 Y: 44 side : 0
X: 41 Y: 48 side : 1
X: 4 Y: 20 side : 0
X: 37 Y: 46 side : 0
X: 15 Y: 42 side : 0
X: 16 Y: 14 side : 1
X: 21 Y: 2 side : 0
X: 22 Y: 39 side : 1
X: 13 Y: 6 side : 0
X: 17 Y: 27 side : 1
X: 10 Y: 9 side : 1
X: 10 Y: 1 side : 1
X: 22 Y: 7 side : 1
X: 48 Y: 44 side : 1
X: 6 Y: 10 side : 1
X: 25 Y: 28 side : 1
X: 34 Y: 49 side : 1
X: 32 Y: 23 side : 0
X: 28 Y: 36 side : 1
X: 42 Y: 5 side : 0
X: 13 Y: 17 side : 0
X: 28 Y: 27 side : 1
X: 43 Y: 49 side : 0
X: 30 Y: 0 side : 0
X: 13 Y: 8 side : 0
X: 39 Y: 35 side : 0
X: 32 Y: 19 side : 1
X: 28 Y: 2 side : 0
X: 12 Y: 30 side : 0
X: 5 Y: 24 side : 1
X: 28 Y: 37 side : 0
X: 8 Y: 17 side : 0
X: 43 Y: 12 side : 1
X: 35 Y: 42 side : 1
X: 21 Y: 7 side : 0
X: 20 Y: 48 side : 1
X: 48 Y: 31 side : 1
X: 26 Y: 9 side : 1
X: 26 Y: 23 side : 1
X: 15 Y: 31 side : 1
X: 6 Y: 9 side : 0
X: 17 Y: 19 side : 1
X: 5 Y: 14 side : 1
X: 44 Y: 49 side : 1
X: 36 Y: 22 side : 0
X: 36 Y: 44 side : 1
X: 21 Y: 43 side : 0
X: 28 Y: 21 side : 1
X: 37 Y: 47 side : 0
X: 28 Y: 14 side : 1
X: 43 Y: 23 side : 0
X: 47 Y: 40 side : 1
X: 18 Y: 47 side : 1
X: 1 Y: 43 side : 0
X: 30 Y: 29 side : 1
X: 15 Y: 17 side : 1
X: 0 Y: 39 side : 0
X: 16 Y: 17 side : 1
X: 43 Y: 5 side : 1
X: 45 Y: 35 side : 1
X: 31 Y: 29 side : 0
X: 27 Y: 28 side : 0
X: 45 Y: 47 side : 1
X: 26 Y: 0 side : 1
X: 9 Y: 31 side : 0
X: 14 Y: 48 side : 0
X: 13 Y: 48 side : 1
X: 6 Y: 16 side : 0
X: 21 Y: 11 side : 1
X: 36 Y: 8 side : 1
X: 16 Y: 41 side : 0
X: 18 Y: 19 side : 0
X: 13 Y: 16 side : 1
X: 4 Y: 42 side : 0
X: 39 Y: 1 side : 1
X: 6 Y: 15 side : 1
X: 40 Y: 29 side : 1
X: 13 Y: 37 side : 1
X: 7 Y: 10 side : 0
X: 7 Y: 49 side : 0
X: 42 Y: 15 side : 0
X: 10 Y: 35 side : 1
X: 4 Y: 48 side : 1
X: 0 Y: 5 side : 1
X: 48 Y: 46 side : 1
X: 27 Y: 2 side : 0
X: 6 Y: 44 side : 1
X: 35 Y: 9 side : 0
X: 32 Y: 17 side : 1
X: 38 Y: 24 side : 0
X: 4 Y: 16 side : 1
X: 12 Y: 28 side : 0
X: 39 Y: 32 side : 1
X: 34 Y: 34 side : 0
X: 22 Y: 32 side : 0
X: 13 Y: 11 side : 1
X: 19 Y: 19 side : 1
X: 7 Y: 6 side : 1
X: 31 Y: 38 side : 0
X: 18 Y: 28 side : 0
X: 6 Y: 33 side : 0
X: 7 Y: 47 side : 0
X: 48 Y: 37 side : 0
X: 37 Y: 23 side : 1
X: 31 Y: 45 side : 1
X: 21 Y: 8 side : 1
X: 18 Y: 30 side : 0
X: 10 Y: 37 side : 1
X: 11 Y: 18 side : 1
X: 29 Y: 39 side : 0
X: 21 Y: 45 side : 1
X: 31 Y: 5 side : 0
X: 21 Y: 3 side : 1
X: 43 Y: 40 side : 1
X: 2 Y: 23 side : 0
X: 44 Y: 46 side : 1
X: 49 Y: 15 side : 1
X: 25 Y: 25 side : 0
X: 8 Y: 36 side : 0
X: 32 Y: 15 side : 1
X: 34 Y: 38 side : 1
X: 21 Y: 19 side : 0
X: 3 Y: 40 side : 1
X: 27 Y: 35 side : 1
X: 26 Y: 38 side : 0
X: 20 Y: 34 side : 0
X: 25 Y: 35 side : 1
X: 10 Y: 10 side : 0
X: 32 Y: 21 side : 0
X: 27 Y: 3 side : 1
X: 10 Y: 39 side : 1
X: 41 Y: 10 side : 0
X: 27 Y: 15 side : 0
X: 20 Y: 42 side : 0
X: 3 Y: 18 side : 0
X: 11 Y: 41 side : 0
X: 14 Y: 16 side : 1
X: 35 Y: 27 side : 1
X: 32 Y: 11 side : 0
X: 14 Y: 38 side : 1
X: 14 Y: 1 side : 0
X: 3 Y: 42 side : 0
X: 12 Y: 22 side : 0
X: 12 Y: 42 side : 0
X: 0 Y: 48 side : 1
X: 26 Y: 9 side : 0
X: 36 Y: 25 side : 0
X: 33 Y: 11 side : 1
X: 41 Y: 43 side : 1
X: 21 Y: 9 side : 1
X: 7 Y: 25 side : 0
X: 31 Y: 29 side : 1
X: 18 Y: 43 side : 1
X: 18 Y: 7 side : 1
X: 12 Y: 10 side : 1
X: 27 Y: 36 side : 1
X: 33 Y: 25 side : 0
X: 8 Y: 8 side : 1
X: 9 Y: 1 side : 0
X: 24 Y: 25 side : 0
X: 30 Y: 32 side : 1
X: 34 Y: 15 side : 0
X: 35 Y: 33 side : 1
X: 6 Y: 3 side : 1
X: 24 Y: 16 side : 1
X: 39 Y: 45 side : 1
X: 14 Y: 31 side : 0
X: 19 Y: 39 side : 1
X: 34 Y: 0 side : 0
X: 45 Y: 25 side : 1
X: 17 Y: 7 side : 1
X: 14 Y: 43 side : 1
X: 43 Y: 29 side : 0
X: 16 Y: 37 side : 0
X: 47 Y: 11 side : 0
X: 38 Y: 1 side : 1
X: 18 Y: 17 side : 0
X: 22 Y: 36 side : 1
X: 37 Y: 23 side : 0
X: 4 Y: 20 side : 1
X: 47 Y: 37 side : 0
X: 23 Y: 3 side : 1
X: 16 Y: 48 side : 0
X: 44 Y: 15 side : 0
X: 24 Y: 12 side : 1
X: 24 Y: 3 side : 0
X: 22 Y: 21 side : 0
X: 48 Y: 45 side : 0
X: 18 Y: 35 side : 1
X: 38 Y: 41 side : 1
X: 35 Y: 38 side : 0
X: 39 Y: 11 side : 0
X: 36 Y: 29 side : 0
X: 15 Y: 24 side : 1
X: 29 Y: 0 side : 0
X: 6 Y: 25 side : 1
X: 35 Y: 47 side : 0
X: 33 Y: 47 side : 1
X: 19 Y: 15 side : 0
X: 29 Y: 5 side : 1
X: 8 Y: 40 side : 0
X: 29 Y: 31 side : 1
X: 3 Y: 20 side : 1
X: 25 Y: 35 side : 1
X: 13 Y: 16 side : 1
X: 15 Y: 22 side : 0
X: 20 Y: 9 side : 1
X: 48 Y: 42 side : 1
X: 23 Y: 12 side : 0
X: 32 Y: 41 side : 0
X: 33 Y: 1 side : 0
X: 25 Y: 32 side : 0
X: 29 Y: 35 side : 0
X: 12 Y: 13 side : 1
X: 19 Y: 28 side : 1
X: 28 Y: 45 side : 1
X: 13 Y: 17 side : 1
X: 46 Y: 15 side : 1
X: 27 Y: 40 side : 1
X: 28 Y: 22 side : 0
X: 32 Y: 8 side : 0
X: 30 Y: 33 side : 0
X: 10 Y: 14 side : 0
X: 12 Y: 26 side : 1
X: 49 Y: 47 side : 1
X: 2 Y: 26 side : 0
X: 28 Y: 39 side : 1
X: 13 Y: 35 side : 0
X: 44 Y: 15 side : 0
X: 36 Y: 43 side : 1
X: 22 Y: 27 side : 1
X: 10 Y: 7 side : 0
X: 31 Y: 20 side : 1
X: 39 Y: 34 side : 1
X: 10 Y: 34 side : 1
X: 11 Y: 36 side : 1
X: 5 Y: 14 side : 0
X: 16 Y: 29 side : 1
X: 46 Y: 24 side : 0
X: 14 Y: 12 side : 1
X: 7 Y: 34 side : 0
X: 10 Y: 47 side : 0
X: 49 Y: 30 side : 0
X: 2 Y: 19 side : 0
X: 33 Y: 31 side : 0
X: 12 Y: 44 side : 1
X: 19 Y: 49 side : 1
X: 15 Y: 17 side : 1
X: 49 Y: 13 side : 1
X: 47 Y: 29 side : 1
X: 41 Y: 37 side : 1
X: 9 Y: 49 side : 0
X: 39 Y: 48 side : 0
X: 39 Y: 2 side : 1
X: 24 Y: 36 side : 0
X: 44 Y: 0 side : 0
X: 49 Y: 20 side : 1
X: 23 Y: 37 side : 0
X: 26 Y: 36 side : 1
X: 3 Y: 36 side : 1
X: 46 Y: 27 side : 0
X: 23 Y: 38 side : 1
X: 48 Y: 28 side : 0
X: 4 Y: 19 side : 0
X: 30 Y: 43 side : 0
X: 40 Y: 38 side : 1
X: 43 Y: 39 side : 1
X: 46 Y: 12 side : 0
X: 19 Y: 38 side : 1
X: 6 Y: 43 side : 1
X: 21 Y: 39 side : 0
X: 27 Y: 13 side : 0
X: 31 Y: 11 side : 0
X: 35 Y: 15 side : 0
X: 41 Y: 47 side : 1
X: 36 Y: 38 side : 1
X: 31 Y: 33 side : 1
X: 48 Y: 29 side : 1
X: 2 Y: 0 side : 0
X: 45 Y: 7 side : 1
X: 26 Y: 30 side : 1
X: 34 Y: 8 side : 0
X: 33 Y: 39 side : 1
X: 11 Y: 26 side : 0
X: 9 Y: 17 side : 0
X: 1 Y: 3 side : 0
X: 32 Y: 36 side : 1
X: 3 Y: 34 side : 0
X: 39 Y: 37 side : 1
X: 13 Y: 32 side : 0
X: 30 Y: 9 side : 0
X: 37 Y: 45 side : 0
X: 7 Y: 30 side : 1
X: 40 Y: 42 side : 1
X: 41 Y: 1 side : 1
X: 39 Y: 4 side : 0
X: 25 Y: 39 side : 1
X: 44 Y: 44 side : 1
X: 44 Y: 33 side : 0
X: 47 Y: 48 side : 1
X: 7 Y: 29 side : 0
X: 0 Y: 18 side : 1
X: 0 Y: 26 side : 0
X: 44 Y: 18 side : 0
X: 13 Y: 9 side : 1
X: 0 Y: 48 side : 0
X: 45 Y: 25 side : 1
X: 24 Y: 19 side : 1
X: 37 Y: 16 side : 1
X: 40 Y: 13 side : 1
X: 25 Y: 21 side : 0
X: 21 Y: 23 side : 1
X: 12 Y: 25 side : 1
X: 36 Y: 19 side : 1
X: 2 Y: 33 side : 1
X: 20 Y: 35 side : 1
X: 46 Y: 30 side : 1
X: 11 Y: 6 side : 0
X: 18 Y: 44 side : 0
X: 13 Y: 36 side : 0
X: 5 Y: 13 side : 1
X: 29 Y: 34 side : 0
X: 20 Y: 48 side : 1
X: 39 Y: 35 side : 1
X: 29 Y: 37 side : 0
X: 30 Y: 9 side : 1
X: 31 Y: 5 side : 0
X: 8 Y: 16 side : 0
X: 7 Y: 37 side : 0
X: 21 Y: 0 side : 0
X: 49 Y: 7 side : 1
X: 0 Y: 39 side : 1
X: 26 Y: 9 side : 0
X: 26 Y: 1 side : 1
